Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
510	-1552.11	-1569.22	17.1134	0.219785	0.224706	0.237631	0.22047	0.231908	0.215368	0.245877	0.249813	0.250271	0.237459	0.207032
520	-1545.75	-1569.75	23.9972	0.18083	0.200044	0.189725	0.20439	0.193209	0.207007	0.196904	0.210079	0.210772	0.222648	0.216051
530	-1553.27	-1572.71	19.4353	0.202996	0.198472	0.173524	0.175307	0.187629	0.198935	0.217363	0.225619	0.214103	0.204347	0.185724
540	-1546.46	-1569.32	22.8594	0.149715	0.153723	0.154388	0.173677	0.176859	0.171968	0.18644	0.176803	0.188352	0.186503	0.195509
550	-1544.27	-1568.48	24.2085	0.176415	0.194235	0.201501	0.203624	0.20526	0.212568	0.212162	0.206529	0.207995	0.220414	0.211031
560	-1546.48	-1568.05	21.5723	0.184077	0.196559	0.221528	0.261586	0.248498	0.25545	0.270848	0.264639	0.254526	0.261777	0.256284
570	-1548.17	-1568.73	20.564	0.18943	0.199312	0.209115	0.236641	0.240184	0.245732	0.247407	0.254178	0.26267	0.259468	0.247588
580	-1548.09	-1575.17	27.0811	0.263267	0.275231	0.272975	0.281439	0.296585	0.307936	0.303861	0.340968	0.331581	0.323448	0.311872
590	-1550.86	-1571.81	20.9588	0.27835	0.287638	0.290451	0.30159	0.280365	0.290303	0.296372	0.299575	0.318379	0.351761	0.39093
600	-1544.22	-1571.81	27.5918	0.240485	0.243782	0.263403	0.261252	0.274045	0.283987	0.294399	0.305656	0.287974	0.296923	0.29547
610	-1553.77	-1569.13	15.3635	0.155679	0.162417	0.168805	0.167109	0.168937	0.165671	0.183703	0.178167	0.188042	0.22711	0.225077
620	-1548.71	-1570.19	21.4743	0.224024	0.232134	0.246199	0.232181	0.270708	0.276142	0.247799	0.248807	0.248341	0.248182	0.254179
630	-1549.22	-1570.67	21.4472	0.132657	0.128762	0.12766	0.136546	0.12804	0.13426	0.13577	0.147875	0.145899	0.141211	0.160665
640	-1548.41	-1569.19	20.783	0.121484	0.121533	0.141631	0.146464	0.139909	0.164563	0.181475	0.182392	0.18915	0.183833	0.188667
650	-1547.95	-1569.02	21.0721	0.113457	0.124551	0.125962	0.124714	0.122162	0.116332	0.131821	0.12959	0.137664	0.148627	0.145403
660	-1547.68	-1569.25	21.5756	0.211899	0.203324	0.230376	0.226642	0.243804	0.232874	0.247113	0.233761	0.239332	0.255731	0.263445
670	-1547.2	-1571.58	24.3759	0.294873	0.295744	0.305738	0.333781	0.362514	0.371859	0.380623	0.3404	0.330492	0.358411	0.352496
680	-1543.63	-1568.7	25.0717	0.210925	0.223813	0.23951	0.257576	0.254051	0.273341	0.284939	0.280308	0.287803	0.300556	0.290303
690	-1546.63	-1568.18	21.5496	0.174031	0.17532	0.191915	0.192532	0.19644	0.212942	0.220288	0.203596	0.182961	0.17971	0.186181
700	-1549.36	-1573.29	23.9298	0.227935	0.219084	0.226838	0.199802	0.202833	0.209008	0.203111	0.197777	0.1967	0.199121	0.209985
710	-1546.77	-1567.32	20.5523	0.16871	0.17328	0.184676	0.179703	0.188115	0.163439	0.160234	0.151572	0.147061	0.141202	0.139745
720	-1541.89	-1569.28	27.3909	0.200563	0.19904	0.210959	0.230346	0.229229	0.235815	0.227679	0.226898	0.234065	0.244224	0.234368
730	-1548.61	-1570.83	22.2192	0.243129	0.239372	0.245343	0.240299	0.227581	0.239582	0.243978	0.226388	0.234816	0.257062	0.248495
740	-1543.23	-1569.05	25.8182	0.209576	0.206324	0.21785	0.223608	0.219476	0.21569	0.219148	0.201407	0.215398	0.213321	0.197989
750	-1541.87	-1569.26	27.39	0.152012	0.162196	0.16245	0.15807	0.163029	0.164942	0.155976	0.166441	0.168686	0.169842	0.178245
760	-1547.09	-1571.63	24.537	0.201258	0.207708	0.199988	0.204529	0.199087	0.18954	0.198152	0.180041	0.19582	0.195463	0.192628
770	-1551.57	-1571.5	19.9343	0.2332	0.222907	0.223416	0.201673	0.213761	0.222072	0.238012	0.212991	0.208665	0.19349	0.195991
780	-1551.52	-1568.29	16.7724	0.216268	0.242457	0.229616	0.232569	0.213092	0.220888	0.213326	0.195071	0.188418	0.186821	0.184507
790	-1544.3	-1569.47	25.1679	0.226724	0.224297	0.235622	0.231248	0.229002	0.219321	0.212248	0.218402	0.220783	0.220854	0.214774
800	-1549.05	-1568.41	19.3611	0.146418	0.158133	0.163029	0.166912	0.164351	0.150035	0.133495	0.141302	0.144887	0.148303	0.14099
810	-1549.34	-1569.12	19.7783	0.15213	0.143687	0.130586	0.133715	0.135592	0.147549	0.151296	0.142449	0.135667	0.139224	0.137241
820	-1546.34	-1570.39	24.0426	0.108628	0.111309	0.120733	0.116792	0.109682	0.107698	0.115995	0.115498	0.109911	0.111015	0.10946
830	-1552.54	-1570.16	17.6279	0.0908367	0.0880571	0.0891237	0.0812516	0.0785372	0.0771796	0.0641259	0.0659382	0.0614359	0.0573212	0.0555343
840	-1548.49	-1568.87	20.3781	0.0790773	0.0814296	0.0780074	0.0760932	0.079901	0.0781409	0.085963	0.0794493	0.0784291	0.0831083	0.0837608
850	-1545.46	-1568.89	23.4307	0.162825	0.174458	0.170066	0.171882	0.174796	0.180405	0.198651	0.19945	0.174602	0.179912	0.188068
860	-1549.78	-1569.44	19.6606	0.189069	0.213192	0.191216	0.179396	0.176487	0.18942	0.191596	0.172841	0.164604	0.162792	0.163027
870	-1549.23	-1568.33	19.0998	0.160467	0.150735	0.156609	0.173418	0.161415	0.150555	0.164235	0.165149	0.165097	0.153814	0.151918
880	-1544.2	-1567.8	23.5938	0.173435	0.180072	0.190618	0.202926	0.196648	0.201818	0.201255	0.207715	0.206178	0.188715	0.208264
890	-1544.05	-1567.8	23.7435	0.147412	0.150825	0.175514	0.186915	0.187198	0.177035	0.178859	0.176071	0.18897	0.188434	0.196954
900	-1547.82	-1569.71	21.8918	0.134656	0.132538	0.145617	0.140125	0.138082	0.149325	0.145766	0.160353	0.146956	0.156793	0.166375
910	-1551.74	-1568.61	16.8682	0.166486	0.152043	0.168001	0.192368	0.179031	0.179878	0.190756	0.190006	0.200442	0.189401	0.184617
920	-1545.34	-1567.86	22.5179	0.13281	0.14795	0.16486	0.17957	0.188575	0.185896	0.20173	0.188206	0.18992	0.187007	0.182269
930	-1549.61	-1570.48	20.8686	0.25137	0.242867	0.242023	0.269302	0.277186	0.272322	0.263371	0.261097	0.263268	0.263636	0.259734
940	-1543.36	-1572.19	28.8285	0.223914	0.218558	0.222192	0.21303	0.210461	0.216983	0.213535	0.218248	0.199134	0.195443	0.200124
950	-1545.72	-1571.47	25.7493	0.2701	0.271933	0.282777	0.275252	0.275289	0.277152	0.304851	0.301155	0.282664	0.27311	0.274731
960	-1546.94	-1571.49	24.5529	0.188057	0.185999	0.197442	0.181597	0.189836	0.205305	0.190291	0.179441	0.189724	0.196244	0.187613
970	-1549.54	-1569.38	19.836	0.237525	0.231564	0.234528	0.261629	0.240863	0.253126	0.24946	0.248992	0.237637	0.249028	0.253488
980	-1550.5	-1568.26	17.757	0.11647	0.116765	0.140739	0.142936	0.147575	0.151502	0.161042	0.167473	0.181333	0.18308	0.169678
990	-1547.14	-1567.75	20.6151	0.176437	0.194264	0.181437	0.192985	0.204934	0.227383	0.201539	0.211101	0.212156	0.223798	0.220919
1000	-1550.34	-1570.88	20.541	0.215228	0.220383	0.224879	0.228825	0.224082	0.225432	0.225076	0.227962	0.222763	0.210456	0.172381
1010	-1544.29	-1569.32	25.0241	0.171549	0.172118	0.183759	0.18972	0.190719	0.168578	0.173883	0.168389	0.166441	0.16159	0.162336
1020	-1543.93	-1571.22	27.29	0.14315	0.161152	0.152956	0.156237	0.155202	0.147269	0.149061	0.145032	0.137805	0.138547	0.141955
1030	-1544.13	-1568.5	24.3722	0.179081	0.171671	0.18497	0.190695	0.187417	0.183356	0.171136	0.173926	0.158479	0.148595	0.147339
1040	-1545.62	-1568.41	22.7919	0.203584	0.207186	0.205854	0.192642	0.202574	0.202887	0.197738	0.195301	0.206713	0.184419	0.203504
1050	-1548.42	-1570.05	21.629	0.148591	0.148138	0.147672	0.152977	0.14234	0.138702	0.147616	0.155278	0.139213	0.133788	0.142299
1060	-1548.84	-1570.11	21.2676	0.189097	0.20309	0.183555	0.196199	0.180881	0.173984	0.162064	0.15743	0.157338	0.157398	0.152906
1070	-1556.39	-1571.84	15.4558	0.0603546	0.0627529	0.0673918	0.0667229	0.06315	0.0547951	0.0612962	0.058605	0.0551853	0.0551641	0.0551487
1080	-1542.09	-1567.91	25.8257	0.14339	0.1478	0.147063	0.144531	0.144956	0.144062	0.142386	0.138151	0.136939	0.146827	0.147096
1090	-1547.07	-1569.45	22.379	0.158448	0.163657	0.164615	0.181412	0.177149	0.162919	0.149122	0.155067	0.177668	0.168119	0.159623
1100	-1546.11	-1570.24	24.1308	0.199819	0.206289	0.214176	0.216421	0.222124	0.21759	0.238801	0.214248	0.227884	0.247324	0.242918
1110	-1549.8	-1569.49	19.6844	0.221139	0.254025	0.281552	0.293021	0.303876	0.303708	0.315354	0.310201	0.343972	0.394341	0.390483
1120	-1542.31	-1568.2	25.8969	0.185838	0.198704	0.203818	0.217719	0.230965	0.251028	0.258826	0.281406	0.282702	0.281949	0.274136
1130	-1548.58	-1571.13	22.5471	0.115454	0.126167	0.135511	0.128342	0.133617	0.137049	0.147314	0.144804	0.151741	0.164591	0.160969
1140	-1545.18	-1567.57	22.3865	0.158431	0.155006	0.158237	0.169538	0.184441	0.192848	0.201989	0.201854	0.202762	0.217892	0.210199
1150	-1551.21	-1569.38	18.1671	0.152824	0.16741	0.171126	0.176029	0.187181	0.220209	0.20695	0.226038	0.226619	0.207272	0.199406
1160	-1549.77	-1569.06	19.2931	0.147467	0.136415	0.144518	0.150121	0.141002	0.146854	0.156946	0.151204	0.151542	0.168383	0.166918
1170	-1546.28	-1568.69	22.4112	0.126748	0.144783	0.151164	0.144598	0.141752	0.138952	0.134982	0.139422	0.140055	0.141302	0.143555
1180	-1545.92	-1568.26	22.3421	0.139284	0.141621	0.136211	0.137119	0.14545	0.153577	0.143202	0.1427	0.136683	0.129404	0.125049
1190	-1545.82	-1569.7	23.8817	0.186422	0.182938	0.189978	0.180279	0.182358	0.186017	0.184486	0.188081	0.186523	0.171988	0.160221
1200	-1544.3	-1571	26.6994	0.219907	0.216794	0.209564	0.205763	0.212589	0.205798	0.214727	0.214231	0.197117	0.182675	0.172243
1210	-1547.4	-1571.57	24.1712	0.189484	0.185788	0.181596	0.199346	0.18669	0.187907	0.187025	0.191189	0.172641	0.171889	0.176486
1220	-1546.84	-1569.51	22.6745	0.234138	0.259536	0.246511	0.252559	0.230976	0.229371	0.23165	0.240102	0.230224	0.219637	0.207866
1230	-1548.91	-1572.24	23.3307	0.121101	0.116414	0.115847	0.117878	0.126148	0.115414	0.113841	0.115409	0.125327	0.122066	0.126794
1240	-1551.13	-1568.37	17.2402	0.143409	0.161133	0.186121	0.194856	0.213891	0.22804	0.225384	0.224616	0.220358	0.241263	0.232162
1250	-1547.1	-1567.89	20.7907	0.140537	0.144765	0.157092	0.18122	0.189424	0.185696	0.191269	0.18725	0.196394	0.200429	0.209915
1260	-1548.99	-1568.47	19.4803	0.182925	0.177838	0.17343	0.170825	0.19267	0.211886	0.209306	0.211667	0.199282	0.197896	0.173008
1270	-1549.09	-1573.9	24.8097	0.273724	0.282731	0.265871	0.266412	0.289413	0.276921	0.269728	0.296721	0.279178	0.268542	0.248873
1280	-1546.13	-1568.41	22.2726	0.146336	0.153956	0.164005	0.162923	0.16617	0.161618	0.161293	0.152366	0.154856	0.141403	0.131404
1290	-1548.56	-1569.83	21.273	0.165369	0.154958	0.149464	0.153619	0.163877	0.160209	0.159451	0.157056	0.161237	0.142763	0.136898
1300	-1548.89	-1571.09	22.1986	0.226027	0.235694	0.281694	0.269462	0.254069	0.270174	0.269509	0.253802	0.279726	0.284972	0.267229
1310	-1550.64	-1569.89	19.2477	0.182321	0.172009	0.170882	0.17775	0.189593	0.182631	0.200879	0.208059	0.184045	0.168654	0.169375
1320	-1556.48	-1571.12	14.6383	0.099325	0.105257	0.108361	0.0987474	0.0961716	0.0980406	0.0963023	0.089777	0.0856562	0.0810331	0.0784198
1330	-1544.5	-1570.38	25.8829	0.165939	0.165833	0.181239	0.188731	0.197186	0.192852	0.179328	0.183464	0.176703	0.181556	0.180721
1340	-1554.44	-1567.46	13.013	0.144798	0.166815	0.159302	0.189002	0.177888	0.175954	0.16016	0.151572	0.157562	0.164604	0.148069
1350	-1543.06	-1568.29	25.2344	0.176234	0.169236	0.18181	0.187244	0.201619	0.204004	0.195552	0.195848	0.205816	0.207052	0.222742
1360	-1545.51	-1567.31	21.8037	0.139449	0.148358	0.15694	0.160527	0.179117	0.186456	0.180037	0.195231	0.209122	0.20548	0.193967
1370	-1548.45	-1569.42	20.9672	0.138211	0.144246	0.142728	0.147666	0.152462	0.150213	0.156344	0.156907	0.158889	0.17084	0.172715
1380	-1551.56	-1567.52	15.964	0.141559	0.147198	0.152366	0.146132	0.13741	0.144615	0.144369	0.123524	0.125496	0.129193	0.133011
1390	-1550.99	-1569.76	18.7727	0.0948747	0.0989337	0.0925703	0.0904694	0.0939719	0.0878068	0.0925318	0.0886174	0.0956343	0.100147	0.101582
1400	-1556.84	-1568.67	11.8295	0.158574	0.179809	0.183107	0.180179	0.180054	0.174729	0.158666	0.183212	0.184685	0.192245	0.20453
1410	-1547.51	-1569.64	22.1215	0.170003	0.185865	0.180485	0.1807	0.178867	0.18641	0.20785	0.196515	0.17564	0.161902	0.162338
1420	-1551.45	-1571.76	20.3065	0.135223	0.1269	0.125602	0.12583	0.117108	0.134648	0.135857	0.136028	0.132339	0.123538	0.111305
1430	-1556.82	-1567.47	10.6501	0.144643	0.152719	0.162539	0.177718	0.197252	0.197176	0.204043	0.200996	0.185586	0.157545	0.158842
1440	-1550.13	-1571.46	21.3288	0.12235	0.126112	0.129119	0.121977	0.1283	0.131083	0.127116	0.12079	0.116565	0.119907	0.110418
1450	-1545.78	-1567.41	21.6262	0.17398	0.180475	0.198713	0.208776	0.209857	0.196285	0.200037	0.18765	0.170464	0.170909	0.16636
1460	-1549.48	-1569.02	19.541	0.176447	0.186591	0.188211	0.19942	0.214092	0.210603	0.195389	0.218775	0.2089	0.216721	0.226649
1470	-1545.51	-1569.38	23.868	0.157203	0.160459	0.173521	0.184217	0.177456	0.174215	0.165697	0.177244	0.175019	0.163041	0.166485
1480	-1555.61	-1572.82	17.2109	0.205183	0.208637	0.226149	0.218389	0.211807	0.223598	0.259677	0.292646	0.290682	0.292739	0.257071
1490	-1553.53	-1569.58	16.0498	0.181902	0.20304	0.201385	0.210778	0.213646	0.206565	0.217558	0.227921	0.227436	0.211844	0.224635
1500	-1548.19	-1574.48	26.2903	0.145018	0.151131	0.163723	0.175886	0.168581	0.160519	0.153749	0.146789	0.154141	0.158047	0.158494
1510	-1550.35	-1570.26	19.9132	0.275522	0.286179	0.320376	0.34915	0.374609	0.339458	0.344839	0.338258	0.325923	0.340943	0.353883
1520	-1552.66	-1568.29	15.632	0.195114	0.209642	0.245019	0.25279	0.253769	0.277774	0.289651	0.276422	0.282174	0.297361	0.325334
1530	-1550.08	-1570.72	20.6466	0.223115	0.233507	0.260171	0.272225	0.276842	0.293088	0.295487	0.296449	0.336908	0.319916	0.295309
1540	-1544.68	-1570.07	25.3843	0.201085	0.211656	0.224124	0.227705	0.246228	0.235117	0.22949	0.244885	0.225065	0.216136	0.217199
1550	-1550.18	-1572.48	22.2948	0.154702	0.163942	0.164306	0.17207	0.175811	0.173318	0.165083	0.160197	0.17357	0.162368	0.166007
1560	-1548.06	-1568.08	20.0277	0.138571	0.146433	0.163755	0.180008	0.179012	0.173573	0.167572	0.173294	0.187474	0.173653	0.164675
1570	-1550.5	-1571.07	20.573	0.173801	0.160209	0.180227	0.17156	0.17683	0.206029	0.213794	0.209191	0.197147	0.206156	0.190646
1580	-1545.77	-1570.17	24.405	0.225926	0.252345	0.274112	0.276336	0.278427	0.269044	0.297984	0.276581	0.276	0.283108	0.280421
1590	-1553.29	-1568.24	14.9452	0.196856	0.192165	0.205322	0.242702	0.254299	0.260136	0.253172	0.271726	0.261514	0.266071	0.253806
1600	-1543.72	-1568.61	24.8921	0.164625	0.177198	0.170096	0.174319	0.186067	0.178947	0.186217	0.172075	0.176894	0.174844	0.179003
1610	-1546.98	-1569.49	22.5176	0.102778	0.0966666	0.0982491	0.0994672	0.10303	0.100142	0.0987357	0.0940276	0.0942974	0.0973895	0.105103
1620	-1545.26	-1568.49	23.2256	0.184346	0.200822	0.205473	0.204759	0.223095	0.216603	0.203413	0.21699	0.216263	0.222967	0.237579
1630	-1548.99	-1567.84	18.8498	0.140393	0.144403	0.150925	0.172172	0.176452	0.200574	0.193444	0.198404	0.220808	0.218308	0.230576
1640	-1551.16	-1573.45	22.2932	0.208388	0.21771	0.235546	0.236432	0.238762	0.256485	0.254132	0.280605	0.279162	0.283268	0.28699
1650	-1543.55	-1568.66	25.1102	0.185973	0.180118	0.185537	0.203874	0.202896	0.205641	0.212837	0.219446	0.226153	0.242995	0.248892
1660	-1543.99	-1568.37	24.3824	0.163896	0.170307	0.170495	0.168422	0.170652	0.167485	0.17754	0.190929	0.18891	0.189258	0.186117
1670	-1548.02	-1571.75	23.7381	0.171406	0.17193	0.180412	0.176731	0.195185	0.209155	0.225813	0.224018	0.232113	0.222552	0.220503
1680	-1545.64	-1571.62	25.9775	0.196282	0.20895	0.209443	0.21206	0.229045	0.211633	0.213174	0.206995	0.214298	0.220537	0.233797
1690	-1546.98	-1571.09	24.1115	0.114005	0.120382	0.135684	0.12714	0.125098	0.123152	0.123565	0.118896	0.113735	0.113178	0.119401
1700	-1552.07	-1573.25	21.1786	0.206369	0.220353	0.223774	0.2182	0.196005	0.186321	0.182156	0.160265	0.168297	0.16742	0.163948
1710	-1543.73	-1570.15	26.4208	0.203686	0.216103	0.198483	0.196481	0.201199	0.196897	0.182358	0.179971	0.174623	0.169494	0.180963
1720	-1542.22	-1568.18	25.9545	0.157333	0.158177	0.173871	0.178773	0.173621	0.170846	0.157577	0.158894	0.155076	0.156711	0.14799
1730	-1546.74	-1568.59	21.8578	0.177048	0.171815	0.180507	0.191791	0.191469	0.16967	0.167681	0.159163	0.163543	0.166372	0.161297
1740	-1549.48	-1568.96	19.4793	0.109603	0.115485	0.117076	0.116468	0.111346	0.106129	0.120234	0.118316	0.132669	0.119021	0.127773
1750	-1545.81	-1571.39	25.5768	0.185522	0.200894	0.203462	0.180413	0.18467	0.181849	0.172203	0.164356	0.160946	0.153526	0.154319
1760	-1548.39	-1566.66	18.2776	0.13331	0.146626	0.143983	0.162386	0.166701	0.176567	0.172518	0.168459	0.186389	0.182371	0.183968
1770	-1548.55	-1569.45	20.9036	0.201559	0.197405	0.211812	0.227531	0.246667	0.249762	0.266325	0.272919	0.265172	0.263837	0.282798
1780	-1551.21	-1568.75	17.5486	0.168918	0.1858	0.18901	0.214196	0.238567	0.212589	0.216086	0.246946	0.249247	0.267966	0.262833
1790	-1548.33	-1568.81	20.479	0.106025	0.114084	0.12294	0.131041	0.121781	0.143301	0.151556	0.15495	0.151649	0.159048	0.165159
1800	-1543.6	-1568.74	25.1356	0.157041	0.161824	0.164388	0.160221	0.161025	0.173359	0.175108	0.175694	0.177747	0.177006	0.172994
1810	-1546.61	-1569.13	22.5163	0.147608	0.147324	0.159204	0.168985	0.164446	0.165132	0.166484	0.174575	0.181853	0.167846	0.153381
1820	-1554.25	-1569.08	14.8264	0.0886485	0.100919	0.10209	0.098165	0.0946861	0.0906248	0.103292	0.103985	0.107777	0.103635	0.0904718
1830	-1549.17	-1569.21	20.0416	0.167169	0.160828	0.156181	0.160912	0.1626	0.164761	0.15659	0.136336	0.136322	0.118808	0.124518
