Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
350	-4.40699	0	-4.40699	0.9866474	5.062273	7.759608	1.532831	0.0640646	0.229597	0.315287	0.391052	1
360	-5.19715	0	-5.19715	1.549041	5.545949	8.501002	1.532831	0.527025	0.0829727	0.138594	0.251408	1
370	-6.66081	0	-6.66081	2.853883	6.399239	9.808952	1.532831	0.336454	0.046958	0.395593	0.220995	1
380	-4.61151	0	-4.61151	0.7409717	5.970002	9.151005	1.532831	0.275347	0.430282	0.150204	0.144166	1
390	-4.41502	0	-4.41502	0.5845293	5.845409	8.960024	1.532831	0.388496	0.258166	0.14634	0.206997	1
400	-4.39052	0	-4.39052	0.6580779	5.664598	8.682871	1.532831	0.357837	0.550582	0.0617719	0.0298086	1
410	-3.7968	0	-3.7968	0.1609939	4.212318	6.456772	1.532831	0.0987801	0.254111	0.332541	0.314568	1
420	-3.59876	0	-3.59876	1.510719	2.880595	4.415465	1.532831	0.204228	0.561959	0.200074	0.0337389	1
430	-3.30046	0	-3.30046	0.6413311	3.697465	5.667589	1.532831	0.610853	0.153752	0.0905048	0.14489	1
440	-3.32724	0	-3.32724	0.5489023	3.861598	5.919176	1.532831	0.0806157	0.0571521	0.390061	0.472171	1
450	-1.30776	0	-1.30776	0.6083751	1.198891	1.837698	1.532831	0.0304111	0.109084	0.684603	0.175901	1
460	-1.16704	0	-1.16704	1.073495	0.588317	0.9017905	1.532831	0.0411861	0.184957	0.129319	0.644538	1
470	-2.21373	0	-2.21373	2.34513	0.436831	0.6695881	1.532831	0.310498	0.535799	0.10376	0.0499436	1
480	-3.81197	0	-3.81197	4.195962	0.8656258	1.326858	1.532831	0.309004	0.337033	0.308329	0.0456343	1
490	-4.60126	0	-4.60126	5.810584	0.808429	1.239185	1.532831	0.113679	0.356588	0.51064	0.0190922	1
500	-3.92794	0	-3.92794	4.749786	0.6620348	1.014787	1.532831	0.153034	0.761846	0.0615868	0.0235329	1
510	-4.2836	0	-4.2836	5.775404	0.4208101	0.6450307	1.532831	0.107997	0.440078	0.440415	0.0115104	1
520	-4.14807	0	-4.14807	5.375027	0.5330249	0.8170371	1.532831	0.0385906	0.415325	0.187675	0.35841	1
530	-2.98633	0	-2.98633	3.304691	0.566483	0.8683226	1.532831	0.0230434	0.204731	0.460054	0.312171	1
540	-2.6407	0	-2.6407	2.217891	1.043518	1.599537	1.532831	0.351542	0.508121	0.0832936	0.057043	1
550	-2.03387	0	-2.03387	2.119871	0.442046	0.6775818	1.532831	0.349877	0.0536844	0.561474	0.0349649	1
560	-1.11405	0	-1.11405	0.1283447	0.2489652	0.3816215	1.532831	0.64454	0.0230394	0.12618	0.206241	1
570	-2.10091	0	-2.10091	0.4396899	2.202868	3.376624	1.532831	0.261468	0.0769446	0.550221	0.111366	1
580	-2.17666	0	-2.17666	1.29601	1.407637	2.157669	1.532831	0.184835	0.576072	0.0795611	0.159532	1
590	-1.93234	0	-1.93234	0.7009233	1.778097	2.725522	1.532831	0.135013	0.0282426	0.711266	0.125478	1
600	-0.517031	0	-0.517031	0.3012337	0.4340281	0.6652918	1.532831	0.373205	0.193955	0.301225	0.131616	1
610	-1.05635	0	-1.05635	0.6320702	0.9264146	1.420037	1.532831	0.234381	0.231471	0.254147	0.280001	1
620	-0.640851	0	-0.640851	0.6395113	0.4048614	0.620584	1.532831	0.091803	0.0478299	0.581824	0.278543	1
630	-0.960354	0	-0.960354	0.5185913	0.9179164	1.407011	1.532831	0.259624	0.0292247	0.448227	0.262924	1
640	-2.24657	0	-2.24657	1.562115	1.219027	1.868562	1.532831	0.714819	0.034082	0.0162087	0.234891	1
650	-3.49173	0	-3.49173	3.105021	1.23511	1.893215	1.532831	0.689793	0.190045	0.0870305	0.0331308	1
660	-1.86161	0	-1.86161	1.423324	0.1405471	0.215435	1.532831	0.111121	0.215614	0.452623	0.220642	1
670	-1.43979	0	-1.43979	0.3149121	1.453942	2.228647	1.532831	0.235283	0.228789	0.350212	0.185715	1
680	-3.03873	0	-3.03873	0.644104	3.287731	5.039535	1.532831	0.119985	0.277156	0.282271	0.320587	1
690	-2.94707	0	-2.94707	0.9004136	2.804693	4.29912	1.532831	0.111914	0.290936	0.537515	0.0596356	1
700	-2.44776	0	-2.44776	0.3714216	2.670012	4.092678	1.532831	0.0516034	0.0549964	0.101047	0.792354	1
710	-0.699194	0	-0.699194	0.6526656	0.5070361	0.7772007	1.532831	0.274464	0.426753	0.248982	0.0498003	1
720	-1.47632	0	-1.47632	0.5521563	1.418261	2.173954	1.532831	0.167058	0.170198	0.535219	0.127525	1
730	-0.626696	0	-0.626696	0.3195744	0.6166404	0.9452055	1.532831	0.0768419	0.447664	0.219623	0.255871	1
740	-0.564296	0	-0.564296	0.2466339	0.3844407	0.5892827	1.532831	0.275229	0.0503105	0.328866	0.345595	1
750	-0.49245	0	-0.49245	0.3221582	0.376321	0.5768365	1.532831	0.695798	0.0482058	0.038693	0.217303	1
760	-2.24498	0	-2.24498	0.3229801	2.392878	3.667877	1.532831	0.474215	0.0808178	0.117807	0.327161	1
770	-2.0774	0	-2.0774	0.2372308	2.076672	3.183187	1.532831	0.196828	0.132147	0.464827	0.206198	1
780	-2.23342	0	-2.23342	1.458647	1.304621	1.999763	1.532831	0.0331856	0.0168433	0.382869	0.567103	1
790	-0.909873	0	-0.909873	0.1681088	0.2254742	0.3456139	1.532831	0.197802	0.397176	0.157898	0.247124	1
800	-1.1968	0	-1.1968	0.2266228	1.096189	1.680273	1.532831	0.454064	0.122535	0.0158787	0.407522	1
810	-1.69776	0	-1.69776	0.6906106	1.530362	2.345786	1.532831	0.427215	0.140721	0.0115233	0.420541	1
820	-1.6254	0	-1.6254	1.546146	0.5896684	0.9038619	1.532831	0.0513995	0.266172	0.0671975	0.615231	1
830	-0.716872	0	-0.716872	0.6368973	0.5527224	0.8472301	1.532831	0.22439	0.440899	0.0453734	0.289338	1
840	-0.681857	0	-0.681857	0.537099	0.6087907	0.9331732	1.532831	0.375419	0.0808362	0.118062	0.425683	1
850	-0.759885	0	-0.759885	0.6019594	0.642255	0.9844684	1.532831	0.0937652	0.458052	0.0237628	0.42442	1
860	-1.17509	0	-1.17509	0.37177	1.192598	1.828051	1.532831	0.354566	0.294876	0.225246	0.125312	1
870	-0.716373	0	-0.716373	0.6957349	0.4699215	0.7203102	1.532831	0.0745153	0.0377086	0.249629	0.638147	1
880	-3.09544	0	-3.09544	0.4127591	3.606475	5.528117	1.532831	0.326689	0.0265356	0.486939	0.159836	1
890	-1.54713	0	-1.54713	0.3176085	1.570145	2.406767	1.532831	0.16742	0.00502232	0.696907	0.130651	1
900	-2.76882	0	-2.76882	1.231114	2.146903	3.290839	1.532831	0.400531	0.0844693	0.291997	0.223003	1
910	-1.34536	0	-1.34536	0.13204	0.8361045	1.281607	1.532831	0.0628208	0.203311	0.0631888	0.670679	1
920	-1.10218	0	-1.10218	1.109207	0.4230967	0.6485357	1.532831	0.122053	0.664803	0.0123381	0.200805	1
930	-0.660975	0	-0.660975	0.6075145	0.5075289	0.777956	1.532831	0.273854	0.569477	0.0768705	0.0797977	1
940	-2.62034	0	-2.62034	2.320341	0.9409648	1.44234	1.532831	0.115873	0.366766	0.0367028	0.480659	1
950	-4.13609	0	-4.13609	4.177665	1.201939	1.842369	1.532831	0.503624	0.0397354	0.444634	0.0120057	1
960	-4.29248	0	-4.29248	5.006001	0.9011939	1.381378	1.532831	0.515636	0.189465	0.0624452	0.232453	1
970	-3.91618	0	-3.91618	5.025237	0.3092596	0.4740426	1.532831	0.280567	0.0259528	0.521822	0.171658	1
980	-4.26335	0	-4.26335	4.774496	0.9947369	1.524764	1.532831	0.0891111	0.388515	0.290936	0.231438	1
990	-3.00632	0	-3.00632	2.890296	0.8981276	1.376678	1.532831	0.71197	0.0317527	0.205857	0.0504198	1
1000	-3.99638	0	-3.99638	4.672878	0.7802921	1.196056	1.532831	0.717933	0.0137337	0.18364	0.0846932	1
1010	-4.70218	0	-4.70218	4.481098	1.614897	2.475364	1.532831	0.196284	0.24331	0.00235172	0.558054	1
1020	-3.64848	0	-3.64848	2.605662	1.786744	2.738777	1.532831	0.220394	0.191938	0.0277242	0.559944	1
1030	-2.92409	0	-2.92409	3.311411	0.4630749	0.7098156	1.532831	0.169136	0.0206335	0.274738	0.535492	1
1040	-2.33332	0	-2.33332	2.249364	0.7041079	1.079278	1.532831	0.374141	0.0252217	0.243889	0.356748	1
1050	-1.68194	0	-1.68194	0.2629199	1.667593	2.556138	1.532831	0.162827	0.313124	0.515357	0.00869165	1
1060	-3.24074	0	-3.24074	1.743298	2.136243	3.274499	1.532831	0.124064	0.426054	0.434604	0.0152775	1
1070	-2.67611	0	-2.67611	0.9857709	2.334217	3.57796	1.532831	0.0558793	0.532357	0.0431427	0.368621	1
1080	-1.90047	0	-1.90047	1.886485	0.2460221	0.3771103	1.532831	0.0219618	0.257049	0.060585	0.660405	1
1090	-1.53847	0	-1.53847	1.32334	0.7309236	1.120382	1.532831	0.0183318	0.0174285	0.77817	0.186069	1
1100	-0.845665	0	-0.845665	0.3523186	0.8608031	1.319466	1.532831	0.121628	0.0573442	0.0642149	0.756813	1
1110	-1.68623	0	-1.68623	1.698177	0.4757852	0.7292983	1.532831	0.319075	0.51551	0.0326685	0.132747	1
1120	-0.853079	0	-0.853079	0.8284394	0.4884697	0.7487414	1.532831	0.131067	0.603796	0.149352	0.115785	1
1130	-1.10842	0	-1.10842	1.118972	0.411585	0.6308902	1.532831	0.0919781	0.410979	0.33496	0.162083	1
1140	-2.03836	0	-2.03836	1.031285	1.538594	2.358404	1.532831	0.41219	0.0458145	0.273679	0.268317	1
1150	-3.35011	0	-3.35011	0.8005873	3.541984	5.429263	1.532831	0.410632	0.165852	0.230628	0.192887	1
1160	-1.01675	0	-1.01675	0.2613937	0.9749717	1.494467	1.532831	0.172199	0.14339	0.677049	0.0073623	1
1170	-1.6763	0	-1.6763	0.9294117	1.265752	1.940184	1.532831	0.209311	0.188806	0.568264	0.0336191	1
1180	-1.42867	0	-1.42867	0.8465955	1.098088	1.683184	1.532831	0.234957	0.432769	0.154497	0.177778	1
1190	-1.04321	0	-1.04321	0.9777886	0.5515835	0.8454843	1.532831	0.167641	0.434131	0.183919	0.214309	1
1200	-1.63475	0	-1.63475	1.333172	0.8212398	1.258822	1.532831	0.30255	0.493835	0.0972555	0.10636	1
1210	-1.44454	0	-1.44454	0.5515461	1.385431	2.123632	1.532831	0.250356	0.162246	0.45574	0.131659	1
1220	-1.34582	0	-1.34582	0.2606421	1.306462	2.002585	1.532831	0.65033	0.119219	0.164126	0.0663258	1
1230	-1.0723	0	-1.0723	0.6643798	0.1480532	0.2269405	1.532831	0.196623	0.268359	0.126434	0.408584	1
1240	-0.71273	0	-0.71273	0.3263603	0.7164788	1.098241	1.532831	0.181312	0.041913	0.699547	0.0772281	1
1250	-1.1572	0	-1.1572	0.3261014	1.167185	1.789097	1.532831	0.321536	0.0785455	0.449396	0.150522	1
1260	-1.65722	0	-1.65722	0.6615031	1.514987	2.322219	1.532831	0.0259101	0.33237	0.502911	0.138809	1
1270	-1.83238	0	-1.83238	0.3413597	1.898096	2.90946	1.532831	0.270185	0.421556	0.138256	0.170004	1
1280	-0.818894	0	-0.818894	0.7030816	0.6074262	0.9310817	1.532831	0.227253	0.239317	0.219	0.31443	1
1290	-2.7448	0	-2.7448	1.784011	1.529263	2.344101	1.532831	0.552024	0.0960436	0.262387	0.0895455	1
1300	-2.76047	0	-2.76047	1.496688	1.836403	2.814895	1.532831	0.0496124	0.133518	0.302821	0.514049	1
1310	-2.45304	0	-2.45304	1.34016	1.658622	2.542387	1.532831	0.180495	0.0271642	0.000735784	0.791605	1
1320	-2.62686	0	-2.62686	2.428521	0.8620316	1.321349	1.532831	0.417867	0.132356	0.0171798	0.432597	1
1330	-2.29695	0	-2.29695	1.963841	0.91078	1.396072	1.532831	0.142918	0.812483	0.00916465	0.035434	1
1340	-1.49728	0	-1.49728	0.8867981	1.127108	1.727666	1.532831	0.20612	0.0150747	0.0612193	0.717586	1
1350	-3.05723	0	-3.05723	0.19122	3.229898	4.950888	1.532831	0.0986639	0.0655071	0.451026	0.384803	1
1360	-4.52046	0	-4.52046	2.538622	2.956428	4.531704	1.532831	0.0695954	0.446669	0.117576	0.366159	1
1370	-1.54991	0	-1.54991	0.8955513	0.1155285	0.1770856	1.532831	0.0438458	0.113006	0.0431615	0.799987	1
1380	-2.61128	0	-2.61128	1.680102	1.485895	2.277626	1.532831	0.0448674	0.120219	0.400677	0.434237	1
1390	-2.67644	0	-2.67644	2.545669	0.8208956	1.258294	1.532831	0.116327	0.608455	0.247318	0.0278997	1
1400	-2.66934	0	-2.66934	1.421656	1.813289	2.779466	1.532831	0.416782	0.0993889	0.175092	0.308737	1
1410	-0.711304	0	-0.711304	0.2904873	0.6924575	1.06142	1.532831	0.147981	0.276419	0.31726	0.25834	1
1420	-1.10793	0	-1.10793	1.115261	0.4222556	0.6472465	1.532831	0.0294717	0.0175256	0.494978	0.458025	1
1430	-0.983323	0	-0.983323	0.9998345	0.3626758	0.5559207	1.532831	0.0245855	0.115817	0.308031	0.551567	1
1440	-2.88207	0	-2.88207	1.31809	2.181666	3.344125	1.532831	0.0535431	0.37696	0.281569	0.287928	1
1450	-2.46756	0	-2.46756	0.5166732	2.619287	4.014925	1.532831	0.067651	0.182853	0.473902	0.275595	1
1460	-3.68625	0	-3.68625	1.702942	2.757568	4.226886	1.532831	0.00975578	0.367292	0.479964	0.142988	1
1470	-3.87233	0	-3.87233	2.039361	2.613811	4.006531	1.532831	0.00710788	0.202697	0.468206	0.321989	1
1480	-4.10069	0	-4.10069	3.281489	1.757614	2.694124	1.532831	0.0612848	0.559254	0.329614	0.0498474	1
1490	-2.23306	0	-2.23306	1.611671	1.159065	1.776651	1.532831	0.176194	0.458303	0.154913	0.21059	1
1500	-1.13954	0	-1.13954	1.115535	0.4895777	0.7504399	1.532831	0.0422186	0.322433	0.185641	0.449708	1
1510	-1.19361	0	-1.19361	0.6859551	1.016128	1.557553	1.532831	0.561725	0.040254	0.0236777	0.374343	1
1520	-1.62115	0	-1.62115	1.059058	1.078814	1.653639	1.532831	0.425636	0.244592	0.193171	0.136601	1
1530	-2.24182	0	-2.24182	1.893736	0.9158956	1.403913	1.532831	0.193884	0.0233777	0.768022	0.0147165	1
1540	-3.22007	0	-3.22007	3.224044	0.8805216	1.349691	1.532831	0.112043	0.312999	0.136014	0.438943	1
1550	-1.06935	0	-1.06935	1.06349	0.454834	0.6971836	1.532831	0.650981	0.147946	0.10947	0.0916025	1
1560	-0.766293	0	-0.766293	0.1738201	0.3909898	0.5993213	1.532831	0.472881	0.405516	0.105604	0.0159984	1
1570	-1.56654	0	-1.56654	1.534699	0.5247652	0.8043764	1.532831	0.121023	0.662444	0.164601	0.051932	1
1580	-1.19924	0	-1.19924	0.5415186	1.141519	1.749756	1.532831	0.245007	0.290121	0.343347	0.121525	1
1590	-0.500066	0	-0.500066	0.4398623	0.3820187	0.58557	1.532831	0.200016	0.0811124	0.256743	0.462129	1
1600	-1.85115	0	-1.85115	1.273214	1.09718	1.681791	1.532831	0.101849	0.0892919	0.273018	0.535841	1
1610	-4.97154	0	-4.97154	2.68073	3.466549	5.313633	1.532831	0.277872	0.377163	0.0656964	0.27927	1
1620	-6.77251	0	-6.77251	3.079757	6.293934	9.647536	1.532831	0.383701	0.104199	0.0617258	0.450374	1
1630	-5.61534	0	-5.61534	0.5299662	8.871699	13.59882	1.532831	0.0753081	0.507072	0.411563	0.00605657	1
1640	-5.9885	0	-5.9885	0.2499569	9.930225	15.22136	1.532831	0.109851	0.212276	0.673899	0.0039746	1
1650	-7.34097	0	-7.34097	1.534919	11.21008	17.18316	1.532831	0.271471	0.246152	0.331552	0.150825	1
1660	-6.88456	0	-6.88456	1.514129	9.839665	15.08254	1.532831	0.0996099	0.123303	0.3135	0.463588	1
1670	-6.83004	0	-6.83004	1.665001	9.272298	14.21287	1.532831	0.0674212	0.0899658	0.764964	0.0776493	1
1680	-6.0604	0	-6.0604	0.5798645	10.06052	15.42108	1.532831	0.233157	0.0411589	0.658725	0.0669584	1
1690	-7.89754	0	-7.89754	2.535291	10.2985	15.78585	1.532831	0.136777	0.345679	0.470357	0.0471874	1
1700	-7.85635	0	-7.85635	2.016365	11.50295	17.63207	1.532831	0.168748	0.435839	0.279318	0.116095	1
1710	-5.94414	0	-5.94414	0.7142752	9.369669	14.36212	1.532831	0.501326	0.243081	0.156535	0.0990586	1
1720	-5.27344	0	-5.27344	0.2615651	7.975097	12.22448	1.532831	0.530289	0.156645	0.131919	0.181147	1
1730	-5.96843	0	-5.96843	0.6371636	9.643159	14.78133	1.532831	0.0128752	0.546012	0.377356	0.0637566	1
1740	-5.06731	0	-5.06731	0.3868667	7.594525	11.64112	1.532831	0.19221	0.425486	0.186376	0.195928	1
1750	-4.82676	0	-4.82676	0.387877	7.006617	10.73996	1.532831	0.125213	0.0712583	0.436372	0.367157	1
1760	-4.64283	0	-4.64283	0.4833923	6.496694	9.958333	1.532831	0.107921	0.305893	0.549328	0.0368591	1
